,GPS,IMU,VelocidadLlantas,PorcentajeLlenado,KilosProcesados,VelocidadTrilladora,NivelCombustible,Kilometraje,NivelAceite,PresionLlantas
1,16.75,5.94,77.64,44.72,98.52,39.32,29.72,71.09,71.85,20.23
2,76.9,13.37,47.6,62.1,68.14,42.31,28.93,63.58,68.06,8.12
3,15,40.26,75.93,67.06,36.04,54.31,91.5,50.61,50.52,46.9
4,89.08,61.73,73.92,79.21,2.6,11.16,14.91,95.48,25.58,19.3
5,67.02,16.51,4.19,40.38,5.37,52.45,31.39,92.73,54.46,36.25
6,91.77,10.06,89.65,80.13,51.17,71.15,68.18,27.4,46.35,53.78
7,20.3,81.15,22.99,90.63,3.09,79.32,81.65,52.18,44.34,68.1
8,12.49,60.92,28.13,39.9,46.59,40.83,31.42,19.04,51.45,17.94
9,2.25,26.88,64.51,73.79,7.01,17.1,83.84,81.7,94.05,92.1
10,78.68,15.2,37.48,57.83,56.82,42.28,93.87,9.65,15.36,21.64
11,45.99,12.55,16.02,6.1,76.14,79.54,61.76,51.67,34.33,68.4
12,2.42,41.03,46.37,89.46,22.54,41.15,9.23,7.68,58.39,87.52
13,51.65,62.52,56.59,14.52,49.57,76.76,16.12,18.95,37.8,27.6
14,53.67,78.76,56.55,21.59,82.39,94.79,93.71,10.1,28.62,81.49
15,13.97,8.05,79.52,85,99.1,93.56,71.62,61.23,53.8,32.66
16,73.44,47.43,97.94,61.82,41.52,34.21,30.27,28.29,24.6,61
17,95.62,20.14,71.13,73.16,22.32,60.41,29.17,69.28,20.72,92.48
18,5.09,30.97,71.95,38.19,27.1,76.2,64.83,25.32,69.53,55.57
19,97.2,94.69,32.83,60.4,89.34,28.06,95.84,84.35,88.84,81.09
20,6.02,38.47,19.68,56.34,67.26,93.37,21.72,78.7,27.98,86.89
21,87.92,16.64,49.25,40.43,62.1,90.25,58.26,88.63,0.77,67.36
22,81.17,62.86,31.22,97.53,72.83,64.62,53.8,48.06,92.51,63.51
23,73.57,43.57,51.39,33.3,23.38,6.56,3.25,28.85,69.7,80.1
24,38.51,54.98,27.79,81.55,18.82,38.44,31.41,94.37,64.31,96.37
25,25.99,66.82,25.88,42.31,83.15,75.1,87.27,46.97,82,90.63
26,66.18,72.88,1.01,73.06,3.44,5.21,22.64,15.2,81.21,68.41
27,89.87,93.47,14.46,91.04,17.26,75.46,95.16,6.1,18.66,14.12
28,46.58,91.97,36.39,29.97,68.22,85.75,37.62,11.76,83.9,87.76
29,28.9,70.33,67.4,58.82,71.5,55.56,60.14,56.81,90.22,50.3
30,57.68,76.21,89.46,32.61,40.76,95,15.47,59.5,82.55,48.54
31,30.89,83.22,15.96,8.96,14.73,60.15,96.18,9.65,1.61,92.56
32,8.49,44.87,99.4,83.97,66.97,32.2,12.6,13.48,69.41,1.87
33,27.26,39.52,0.34,5.69,40.81,1.69,16.59,12.81,51.56,99.77
34,41.5,61.7,62.62,58.53,65.2,62.37,50.26,84.18,58.61,97.54
35,58.04,4.77,30.86,66.04,20.13,24.05,7.6,48.29,97.1,3.44
36,64.27,7.61,43.68,34.82,5.62,81.32,95.26,97.38,1.11,50.07
37,44.69,45.91,80.13,55.08,33.45,60.97,88.43,11.38,88.61,15.71
38,19.19,51.39,39.59,15.45,99.78,55.12,71.95,74.48,31.6,32.43
39,22.75,31.4,87.96,20.34,58.45,15.21,97.39,63.18,35.61,50.97
40,61.16,56.08,27.89,98.04,95.21,55.84,92.48,98.82,85.05,78.42
41,79.46,52.35,31.39,37.25,92,16.36,82.08,32.02,5,93
42,72.18,54.85,38.61,14.21,27.48,4.59,42.01,3.74,95.5,97.21
43,9.92,50.43,0.08,74.17,41.08,39.67,90.65,17.22,9.25,35.08
44,16.41,78.02,14.62,22.14,40.81,4.47,51.26,4,18.94,5.6
45,51.75,19.37,51.44,13.9,57.77,95.97,44.51,34.75,21.76,94.71
46,66.45,27.48,94.94,93.2,26.93,28.55,52.46,96.71,64.04,90.57
47,6.51,25.11,23.63,31.2,43.48,68.04,16.21,31.41,56.38,5.66
48,16.31,98.11,78.4,83.56,49.7,58.94,29.71,21.96,26.24,13.31
49,36.14,81.17,11.57,60.54,98.23,67.95,33.84,95.36,76.72,51.25
50,81.65,6.4,18.14,62.75,39.19,17.87,42.56,20.71,8.4,47.78
51,56.25,14.54,58.74,47.66,59.41,58.5,91.99,58.61,27.08,29.31
52,88.94,38.43,97.21,62.26,23.81,63.87,12.18,38.03,98.52,31.53
53,55.19,1.87,53.67,85.53,81.06,87.74,27.33,29.55,28.67,28.76
54,34.78,46.09,30.2,49.08,42.28,91.63,87.15,94.99,32.72,23.75
55,62.25,16.08,32.56,63.79,72.45,55.49,65,7.56,36.94,47.96
56,5.03,64.11,87.18,81.58,94.25,1.4,28.51,19.12,93.67,35.93
57,5.59,28.22,62.03,92.07,54.47,68.59,99.81,76.49,93.78,72.1
58,39.81,31.67,37.85,73.44,72.38,24.71,88,61.79,87.18,26.75
59,33.98,45.61,12.16,24.68,63.02,76.49,83.42,2.29,92.59,67.6
60,20.95,83.25,89.08,15.61,23.9,44.63,78.91,94.3,6.13,1.98
61,40.66,8.7,14.71,37.15,91.18,31.69,16.33,23.83,45.61,26.28
62,36.2,71.06,97.67,92.38,52.94,25.32,74.77,33.96,50.49,1.14
63,6.18,10.4,45.24,43.61,9,21.06,29.35,91.54,34.5,96.85
64,11.54,18.89,74.08,67.69,20.37,94.26,0.6,22.69,90.65,2.66
65,2.93,41.01,2.94,66.14,63.75,17.76,61.88,36.34,43.09,40.5
66,2.91,22.58,84.67,22.79,77.59,21.31,47.52,86.69,98.11,8.7
67,59.25,84.03,37.41,91.01,45.86,14.36,6.96,22.79,16.48,94.01
68,40.05,70.39,65.28,82.82,80.24,35.72,13.56,88.72,48.7,88.94
69,3.36,96.16,57.43,99.15,86.7,70.54,47.31,75.95,33.42,68.01
70,22.94,38.4,64.36,90.56,21.33,20.64,47.34,53.35,32.87,50.45
71,63.73,53.44,10.9,98.13,4.34,7.97,17.6,95.52,46.23,68.23
72,23.71,12.83,32.92,67.63,82.05,69.47,31.18,94.97,29.92,78.49
73,51.66,26.88,66.67,14.25,48.97,22.54,8.75,68.25,78.69,71.67
74,56.64,10.69,97.35,0.85,76.72,73.65,48.22,83.98,51.31,69.4
75,50.25,97.62,93.94,31.13,5.02,8.69,69.64,77.1,35.38,64.66
76,69.12,22.43,70.95,82.5,11.35,8.64,40.78,17.21,29.27,38.78
77,30.12,44.03,7.54,85.22,65.68,2.64,41.12,56.98,85.74,22.99
78,90.36,4.98,38.41,71.03,9.21,63.38,2.69,7.02,69.93,16.19
79,80.63,50.58,51.77,52.97,17.06,90.64,27.74,6.33,93.64,54.29
80,23.88,72.82,33.14,65.98,12.43,84.03,85.42,71.19,64.59,60.23
81,18.89,35.05,10.87,98.66,77.61,85.19,38.1,83.18,66.05,51.76
82,26.34,69.93,68.09,11.09,35.67,39.06,21.83,13.22,11.49,93.56
83,88.47,16.89,43.5,39.05,63.78,97.12,79.8,94.22,78.73,60.95
84,4.12,86.7,84.24,51.6,34.75,52.68,74.05,99.16,34.8,37.76
85,6.1,32.04,25.63,73.44,74.91,66.56,21.88,54.24,61.12,40.36
86,0.56,95.31,12.78,53.25,38.77,41.98,80.31,17.89,49.86,60.12
87,98.93,41.87,43.61,46.82,55.16,34.56,65.09,15.46,58.66,51.84
88,90.67,44.38,85.95,99.96,15.54,79.95,35.8,26.78,73.21,96.67
89,47.69,95.68,51.46,14.23,16.23,87.8,37.75,29.08,19.79,63.05
90,54.02,30.24,24.3,83.47,93.16,53.9,84.79,89.7,22.72,28.77
91,42.45,20.83,39.99,97.57,47.32,46.57,24.88,73.2,65.82,64.83
92,32.35,5.28,25.26,66.92,27.7,59.55,8.2,35.79,29.52,22.63
93,60.7,29.57,20.61,95.06,27.11,54.81,9.77,8.6,54.9,71.16
94,53.31,3.65,56.77,42.76,84.82,78.91,86.25,60.8,24.76,67.49
95,10.9,15.89,14.87,69.09,21.38,11.67,20.81,57.37,27.84,21.82
96,36.44,84.69,46.15,64.24,71.19,90.92,46.06,87.42,87.15,8.86
97,60.49,38.5,94.76,35.6,60.26,45.47,78.82,26.67,78.46,5.84
98,18.06,39.69,76.41,59.65,2.91,8.84,21.54,99.28,61.38,59.36
99,51.57,55.53,69.97,24.6,87.7,47.9,56.9,55.19,51.6,80.86
100,74.89,17.84,38.93,69.33,51.66,57.85,81.83,49.21,73.69,60.85
101,24.13,9.93,59.75,11.04,5.3,76.31,11.49,91.92,64.15,94.84
102,75.12,51.28,55.78,45.74,79.93,24.82,89.99,76.13,93.13,51.61
103,36.35,3.82,90.66,0.17,69.48,96.72,61.85,49.23,58.92,39.01
